slug,name,notes,productType,businessModel,uxMode,imageryUsage,colorStrategy,typographyTone,layoutDensity,surfaceDepth,themeMode,shapeLanguage,shadowStyle,contentFocus,motionUsage,primaryIntent
mongodb,MongoDB,"MongoDB's design system exudes a deep, forest-like atmosphere with a dark teal-black background and vibrant neon green accents, creating an electric yet organic feel. The typography blends authority and technical precision, utilizing a three-font system that balances editorial elegance with engineering clarity. The dual-mode design features a stark contrast between dark hero sections and light content areas, enhancing readability and engagement. The shape language is predominantly pill-shaped, particularly for buttons, which adds a modern touch. Content is presented through a mix of product screenshots and illustrations, ensuring a dynamic visual experience. The overall layout is balanced, with a thoughtful use of whitespace that allows for a clean and organized presentation of information.",digital,devtools,mixed,mixed,multiAccent,technical,balanced,layered,dual,pill,subtle,mixed,medium,trust
notion,Notion,"Notion's design exudes a warm, approachable minimalism, utilizing a palette of warm neutrals that evoke a tactile quality. The typography, centered around the NotionInter font, employs aggressive letter-spacing for impactful headlines while maintaining readability. The layout is balanced, with subtle depth achieved through whisper-thin borders and soft shadows, creating a sense of structure without heaviness. The light-first theme mode enhances the clean aesthetic, while rounded shapes contribute to a friendly interface. Content is presented through a mix of product screenshots and illustrations, emphasizing clarity and engagement. Overall, the design fosters trust and exploration, aligning with Notion's core values.",digital,saas,mixed,mixed,singleAccent,neutral,balanced,subtle,lightFirst,rounded,subtle,mixed,low,trust
nvidia,NVIDIA,"NVIDIA's design exudes a high-tech, industrial vibe, primarily using a dark theme with sharp edges and minimalistic elements. The color strategy is anchored by a single accent, the signature NVIDIA Green, which is used sparingly to highlight key elements. Typography is technical and authoritative, with a focus on bold weights that enhance readability and convey confidence. The layout is dense, reflecting the complexity of the content, while maintaining a flat surface depth that emphasizes clarity. The overall shape language is sharp, aligning with the brand's engineering focus. Content is presented through a mix of product screenshots and illustrations, ensuring a dynamic yet cohesive visual experience.",digital,other,browsingHeavy,mixed,singleAccent,technical,dense,flat,darkFirst,sharp,subtle,mixed,low,trust
ollama,Ollama,"Ollama's design embodies radical minimalism, featuring a pure white interface devoid of color, creating a monochrome environment. The typography employs SF Pro Rounded, enhancing approachability with its soft, rounded forms. The layout is sparse, emphasizing content clarity and focus, while the absence of shadows contributes to a flat aesthetic. The theme is light-first, with a pill-shaped geometry for all interactive elements, reinforcing a cohesive visual language. Content is primarily presented through code snippets and the Ollama llama mascot, rendered in simple black line art. This design philosophy prioritizes functionality and user trust, ensuring that every element serves a purpose without unnecessary embellishments.",digital,devtools,browsingHeavy,unknown,monochrome,neutral,sparse,flat,lightFirst,pill,none,codeFirst,low,trust
opencode.ai,OpenCode,"OpenCode's design exudes a terminal-native aesthetic, characterized by a warm dark theme that feels sophisticated rather than cold. The color strategy is monochrome, utilizing a near-black background with off-white text, creating a cohesive and lived-in quality. Typography is strictly monospace, with Berkeley Mono used throughout, reinforcing a technical tone. The layout is balanced, with generous spacing that enhances readability while maintaining a flat surface depth. The theme is dark-first, aligning with the terminal aesthetic, and the shape language is sharp, reflecting a utilitarian approach. Content is primarily presented through code snippets and terminal screenshots, emphasizing the product's coding identity. Overall, the design communicates trust and familiarity, appealing to users in the tech space.",digital,ai,mixed,mixed,monochrome,technical,balanced,flat,darkFirst,sharp,none,codeFirst,low,trust
pinterest,Pinterest,"Pinterest's design exudes a warm, inviting atmosphere, utilizing a soft white background complemented by a bold Pinterest Red accent. The typography, featuring the custom Pin Sans font, is expressive and designed for readability, with a compact type scale that enhances the browsing experience. The layout is dense, prioritizing visual content through a photography-first approach, while the rounded shape language adds a friendly touch. The overall theme is light, creating a cozy environment that encourages exploration. Shadows are minimal, emphasizing the flat design that relies on color and content for depth. The color strategy is anchored by a single accent, ensuring brand consistency without overwhelming the user. This thoughtful design approach fosters a personal, craft-like feel, making the platform feel less corporate and more like a lifestyle magazine.",digital,social,browsingHeavy,imageFirst,singleAccent,expressive,dense,flat,lightFirst,rounded,none,photography,low,exploration
posthog,PostHog,"PostHog's design exudes a warm, irreverent vibe, reminiscent of a cozy startup wiki. The color strategy leans towards earthy olive greens and muted sage, creating an approachable atmosphere. Typography is anchored by IBM Plex Sans Variable, emphasizing technical credibility while maintaining a playful tone. The layout is dense, packed with content that reads like a magazine, and the theme is light-first, enhancing readability. Rounded shapes are prevalent, contributing to a friendly aesthetic. Content is presented through a mix of hand-drawn illustrations and product screenshots, avoiding stock photography to maintain authenticity. Overall, the design feels unique and engaging, inviting exploration.",digital,devtools,mixed,mixed,multiAccent,technical,dense,flat,lightFirst,rounded,none,illustration,medium,exploration
raycast,Raycast,"Raycast's design exudes a high-tech, professional vibe, characterized by a near-black blue background that enhances its digital tool identity. The color strategy employs a multi-accent approach, with Raycast Red as a key highlight against the dark surfaces. Typography is technical, using Inter for clarity and GeistMono for code, ensuring readability in a dense layout. The layered depth from shadows creates a tactile experience, while the dark-first theme reinforces focus on content. The shape language is predominantly pill-shaped, aligning with modern UI trends. Content is presented through a mix of code snippets and product screenshots, emphasizing functionality and user engagement.",digital,devtools,taskFocused,mixed,multiAccent,technical,dense,layered,darkFirst,pill,stacked,codeFirst,medium,trust
replicate,Replicate,"Replicate's design exudes a vibrant, energetic vibe, reminiscent of a music festival. The color strategy employs a bold gradient, primarily orange-red-magenta, creating a striking visual impact. Typography is expressive, featuring massive display fonts that command attention, while body text remains clean and functional. The layout is balanced, with generous whitespace that enhances readability. The theme is dark-first, utilizing a near-black background to make the vibrant colors pop. Shape language is exclusively pill-shaped, contributing to a playful and modern aesthetic. Content is presented through a mix of code snippets and AI-generated images, fostering a community-driven atmosphere that invites exploration and creativity.",digital,ai,mixed,mixed,gradientLed,expressive,balanced,flat,darkFirst,pill,none,mixed,medium,exploration
resend,Resend,"Resend's design exudes a premium, cinematic vibe with a dark theme that enhances the luxurious feel of its digital product. The color strategy employs a multi-accent approach, featuring icy blue-tinted borders and vibrant accent colors that stand out against the pure black background. Typography is carefully curated, with a hierarchy that balances expressive display fonts with clean, readable body text. The layout is balanced, providing ample whitespace that feels both spacious and intimate. The design favors a dark-first theme mode, utilizing pill-shaped buttons that contribute to a cohesive shape language. Content is presented through a mix of code examples and product screenshots, ensuring clarity and engagement. Overall, the design is meticulously crafted to evoke trust and confidence in its users.",digital,devtools,creationTool,mixed,multiAccent,premium,balanced,flat,darkFirst,pill,ring,codeFirst,low,trust
revolut,Revolut,"Revolut's design exudes confidence with a premium feel, utilizing a disciplined neutral palette and massive typography. The color strategy is multi-accent, featuring a restrained near-black and white for marketing, while vibrant semantic colors are reserved for the product interface. Typography is dominated by Aeonik Pro, creating a bold and authoritative presence, complemented by the Inter font for body text. The layout is balanced, with generous whitespace enhancing readability. The theme is dark-first, aligning with the fintech identity, while the shape language is consistently pill-shaped for buttons, promoting a modern aesthetic. Content is primarily presented through code and product screenshots, emphasizing functionality and user trust.",digital,fintech,mixed,mixed,multiAccent,premium,balanced,flat,darkFirst,pill,none,codeFirst,low,trust
runwayml,Runway,"Runway's design exudes a cinematic and editorial vibe, utilizing a dark palette that emphasizes full-bleed photography and video. The color strategy is anchored in a single accent, with cool neutrals enhancing the visual content. Typography is expressive, featuring a single geometric sans-serif typeface, abcNormal, which maintains a tight, dense layout. The theme is dark-first, creating a dramatic atmosphere that complements the imagery. Shape language is subtly rounded, contributing to a modern feel. Content is presented primarily through high-quality photography, with minimal UI elements that retreat into the background, allowing the visuals to dominate the experience.",digital,ai,browsingHeavy,imageFirst,singleAccent,expressive,dense,flat,darkFirst,rounded,none,photography,low,emotionalBranding
sanity,Sanity,"Sanity's design exudes a dark, structured vibe, resembling a command center. The color strategy is monochromatic, utilizing a near-black canvas with vivid accent colors for emphasis. Typography is technical, featuring waldenburgNormal for headlines and IBM Plex Mono for code, creating a precise, engineered feel. The layout is dense, with tightly packed information clusters, while the overall theme is dark-first, enhancing focus on content. Shape language is predominantly pill-shaped for buttons, contributing to a modern aesthetic. Content is presented through a mix of code snippets and structured layouts, reinforcing the platform's developer-centric approach. The absence of shadows maintains a flat appearance, emphasizing clarity and functionality.",digital,devtools,taskFocused,mixed,monochrome,technical,dense,flat,darkFirst,pill,none,codeFirst,low,trust
sentry,Sentry,"Sentry's design exudes a technical yet vibrant atmosphere, primarily utilizing a dark mode aesthetic with deep purple-black backgrounds. The color strategy employs a multi-accent approach, featuring warm purples and a striking lime-green accent for visibility. Typography is a blend of expressive and technical tones, with 'Dammit Sans' for impactful headings and 'Rubik' for functional text, creating a balanced density. The theme is dark-first, enhancing the developer tool experience, while the rounded shape language softens the interface. Content is presented through a mix of illustrations and product screenshots, ensuring clarity and engagement. Overall, the design feels inviting and dynamic, perfect for late-night coding sessions.",digital,devtools,taskFocused,mixed,multiAccent,technical,balanced,layered,darkFirst,rounded,subtle,mixed,medium,trust
spacex,SpaceX,"SpaceX's design exudes a cinematic and minimalist vibe, utilizing a pure black background with full-viewport photography that immerses users in the aerospace theme. The color strategy is monochrome, relying solely on black and a spectral near-white for text, creating a stark contrast that enhances readability. Typography is technical, featuring the D-DIN typeface in all uppercase, which reinforces the industrial aesthetic. The layout is sparse, with no containers or shadows, allowing the imagery to dominate the experience. The theme is dark-first, aligning with the space exploration narrative. The shape language is sharp, reflecting the precision of aerospace engineering. Content is presented through striking photography, with text overlays that maintain a clean and direct communication style, emphasizing the emotional connection to space exploration.",digital,other,browsingHeavy,imageFirst,monochrome,technical,sparse,flat,darkFirst,sharp,unknown,photography,low,emotionalBranding
spotify,Spotify,"Spotify's design exudes a dark, immersive vibe, utilizing a near-black color palette that enhances the visibility of album art and content. The primary accent, Spotify Green, is used functionally rather than decoratively, creating a striking contrast against the achromatic UI. Typography is compact and expressive, featuring proprietary fonts that support multiple global scripts, ensuring accessibility. The layout is dense, with tightly packed content that prioritizes user engagement over whitespace. The dark theme is complemented by rounded shapes, particularly in buttons and controls, which are designed for touch interaction. Content is primarily presented through product screenshots, emphasizing the music and podcast experience. Overall, the design feels premium and tactile, inviting users into a rich auditory environment.",digital,media,browsingHeavy,imageFirst,singleAccent,expressive,dense,layered,darkFirst,pill,stacked,productScreenshots,unknown,unknown
stripe,Stripe,"Stripe's design exudes a premium, technical vibe with a clean white background and deep navy accents. The color strategy employs a multi-accent approach, featuring a signature purple that serves as both a brand anchor and interactive element. Typography is characterized by the custom sohne-var font, which is light and modern, enhancing the overall luxurious feel. The layout is balanced, with a layered surface depth created by blue-tinted shadows that add atmospheric depth. The theme is light-first, promoting clarity and accessibility. Rounded shapes are used throughout, contributing to a friendly and approachable aesthetic. Content is primarily presented through product screenshots, effectively showcasing the software's functionality while maintaining a polished look.",digital,fintech,taskFocused,mixed,multiAccent,premium,balanced,layered,lightFirst,rounded,stacked,productScreenshots,medium,trust
supabase,Supabase,"Supabase's design exudes a dark, developer-centric vibe, reminiscent of a premium code editor. The color strategy employs deep blacks with emerald green accents, creating a sophisticated yet approachable atmosphere. Typography is dominated by the Circular font, which balances technicality with warmth through its rounded terminals. The layout is dense, maximizing information delivery while maintaining clarity. The theme is firmly dark-first, enhancing focus on content. Shape language is predominantly pill-shaped for buttons, reinforcing a modern aesthetic. Content is presented through a mix of code snippets and minimalistic visuals, emphasizing functionality over decoration. Overall, the design is a seamless blend of technical precision and user-friendly elements.",digital,devtools,mixed,mixed,multiAccent,technical,dense,layered,darkFirst,pill,none,codeFirst,low,trust
superhuman,Superhuman,"Superhuman's design exudes a premium, luxury vibe with a predominantly white canvas and a striking purple gradient hero. The color strategy is centered around a single accent, 'Lavender Glow,' against a clean backdrop, creating a sophisticated atmosphere. Typography is handled with a custom variable font, 'Super Sans VF,' which employs unconventional weights for a unique feel. The layout is balanced, ensuring readability while maintaining a sense of spaciousness. The theme is light-first, with rounded shapes that soften the overall presentation. Content is primarily showcased through product screenshots, emphasizing the UI's elegance and functionality without unnecessary decoration. Overall, the design communicates confidence and clarity, inviting users to engage with the product seamlessly.",digital,saas,taskFocused,mixed,gradientLed,premium,balanced,flat,lightFirst,rounded,subtle,productScreenshots,low,trust
together.ai,Together AI,"Together AI's design exudes an optimistic and airy vibe, utilizing soft pastel gradients that create a dreamlike atmosphere. The color strategy is gradient-led, with a focus on pink, blue, and lavender hues, contrasted by a deep midnight blue for darker sections. Typography is technical, featuring a custom font that employs aggressive negative tracking, enhancing the authoritative feel. The layout is balanced, providing a mix of whitespace and content density, while the dual theme mode allows for a clear distinction between business and research content. The shape language is sharp, with no rounded elements, reinforcing a modern aesthetic. Content is presented through a mix of illustrations, product screenshots, and technical documentation, ensuring a comprehensive user experience.",digital,ai,mixed,mixed,gradientLed,technical,balanced,layered,dual,sharp,subtle,mixed,medium,trust
uber,Uber,"Uber's design exudes a confident minimalism, primarily utilizing a stark black-and-white palette that emphasizes clarity and purpose. The typography, featuring the proprietary UberMove typeface, is technical and efficient, with bold headlines that command attention. The layout is dense, packing information tightly while maintaining a functional whitespace philosophy. The theme operates in dual mode, alternating between light and dark sections, enhancing usability. The shape language is distinctly pill-shaped, creating a tactile interface that is both modern and user-friendly. Content is presented through a mix of warm illustrations and full-bleed photography, adding a human touch to the otherwise monochrome aesthetic. Subtle shadows provide depth without overwhelming the flat design, ensuring a clean and structured appearance.",digital,marketplace,browsingHeavy,mixed,monochrome,technical,dense,flat,dual,pill,subtle,illustration,low,trust
vercel,Vercel,"Vercel's design system embodies a clean, technical aesthetic with a predominantly white background and near-black text, creating a gallery-like feel. The color strategy is monochrome, emphasizing grays and whites, while the typography is technical, featuring the Geist font family with aggressive negative letter-spacing for a compressed look. The layout is sparse, allowing for ample whitespace that enhances readability and focus on content. The theme is light-first, with rounded shapes used throughout the interface. Content is primarily presented through code snippets, supported by product screenshots, reinforcing the developer-centric approach. The layered shadow technique adds depth without clutter, maintaining a sophisticated visual hierarchy.",digital,devtools,browsingHeavy,mixed,monochrome,technical,sparse,layered,lightFirst,mixed,stacked,codeFirst,low,trust
voltagent,VoltAgent,"VoltAgent's design embodies a developer-centric aesthetic with a dark-first theme, utilizing a near-pure-black background that enhances focus. The color strategy is single-accent, featuring an electric emerald green that serves as the primary visual cue against warm-neutral grays. Typography is technical, leveraging system fonts for headings and Inter for body text, creating a sense of authority and speed. The layout is dense, with tightly packed elements that convey a sense of urgency and purpose. Rounded shapes soften the interface, while the content is primarily presented through code snippets, reinforcing the platform's engineering focus. The overall vibe is one of high-tech sophistication, designed for developers who thrive in a command-line environment.",digital,devtools,taskFocused,mixed,singleAccent,technical,dense,flat,darkFirst,mixed,stacked,codeFirst,medium,trust
warp,Warp,"Warp's design exudes a warm, inviting atmosphere, reminiscent of a campfire in a dark forest. The color strategy is almost monochromatic, utilizing warm grays and a near-black background that feels earthy rather than cold. Typography is centered around the Matter font, which is geometric yet approachable, enhancing legibility and warmth. The layout is balanced, with generous whitespace that allows nature photography to breathe alongside terminal screenshots, creating a calm and productive vibe. The theme is dark-first, with pill-shaped buttons that maintain a restrained aesthetic. Content is presented through a mix of photography and product screenshots, reinforcing the lifestyle aspect of the brand while ensuring clarity and focus.",digital,devtools,creationTool,mixed,monochrome,neutral,balanced,flat,darkFirst,mixed,none,mixed,low,trust
webflow,Webflow,"Webflow's design exudes a modern and tool-centric vibe, emphasizing a 'design without code' philosophy. The color strategy employs a clean white background with a vibrant primary blue and a rich array of secondary colors, creating a lively yet professional atmosphere. Typography is expressive, utilizing the custom WF Visual Sans Variable font, which adds a confident touch to the overall presentation. The layout is balanced, ensuring that content is easily digestible without feeling cluttered. The design is light-first, enhancing accessibility and readability. Sharp shapes dominate the interface, contributing to a sleek and contemporary look. Content is primarily presented through illustrations and interactive elements, supported by a medium level of motion to engage users effectively.",digital,saas,creationTool,mixed,multiAccent,expressive,balanced,layered,lightFirst,sharp,stacked,illustration,medium,trust
wise,Wise,"Wise's design exudes a bold and confident vibe, utilizing a warm off-white background with striking lime-green accents. The typography is expressive, featuring massive, dense headlines in Wise Sans at weight 900, creating an urgent and impactful presence. The color strategy employs multiple accents, primarily the vibrant Wise Green, which contrasts sharply against near-black text. The layout is dense, with a flat surface depth that emphasizes clarity and readability. The theme is light-first, enhancing the optimistic feel of the platform. Shape language is predominantly pill-shaped for buttons, contributing to a friendly and approachable aesthetic. Content is presented through a mix of illustrations and typography, ensuring a dynamic and engaging user experience.",digital,fintech,browsingHeavy,mixed,multiAccent,expressive,dense,flat,lightFirst,pill,ring,illustration,medium,trust
x.ai,xAI,"The overall vibe of xAI's design is a stark, technical minimalism that emphasizes functionality over decoration. The color strategy is strictly monochrome, utilizing a near-black background with pure white text to create high contrast. Typography is dominated by a technical tone, featuring a monospace font for display elements, which reinforces the brand's engineering roots. The layout is dense, with a focus on information delivery, while the surface depth remains flat, avoiding any shadows or gradients. The theme mode is dark-first, enhancing the terminal-like aesthetic. The shape language is sharp, with minimal rounding, contributing to a precise, brutalist feel. Content is presented primarily through code and text, with a deliberate absence of imagery, reinforcing the focus on clarity and technical credibility.",digital,ai,browsingHeavy,textFirst,monochrome,technical,dense,flat,darkFirst,sharp,none,codeFirst,low,trust
zapier,Zapier,"Zapier's design exudes a warm, approachable professionalism with a cream background that feels organic. The color strategy employs a single accent, the vibrant Zapier Orange, used sparingly for CTAs, creating an energetic yet inviting atmosphere. Typography is expressive, featuring a mix of Degular Display for impactful headlines and Inter for functional text, ensuring clarity and engagement. The layout is balanced, with a flat surface depth that emphasizes content without overwhelming the user. The design adopts a light-first theme mode, enhancing readability and warmth. Rounded shapes are prevalent, contributing to a friendly aesthetic. Content is primarily presented through product screenshots, effectively showcasing functionality while maintaining a clean, organized look.",digital,saas,taskFocused,mixed,singleAccent,expressive,balanced,flat,lightFirst,mixed,none,productScreenshots,low,trust
